CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
3.54842,,2.11404,0.01007,-0.01007,Rustamkulov et al. 2022,0.1454,3.5E-4,-3.5E-4,Calculated,1.2663,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.57083,,2.11792,0.01025,-0.01025,Rustamkulov et al. 2022,0.14553,3.5E-4,-3.5E-4,Calculated,1.2675,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.5931,,2.13587,0.01037,-0.01037,Rustamkulov et al. 2022,0.14615,3.5E-4,-3.6E-4,Calculated,1.2728,0.0329,-0.0329,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.61523,,2.10406,0.01048,-0.01048,Rustamkulov et al. 2022,0.14505,3.6E-4,-3.6E-4,Calculated,1.2633,0.0326,-0.0326,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.63722,,2.12611,0.01061,-0.01061,Rustamkulov et al. 2022,0.14581,3.6E-4,-3.6E-4,Calculated,1.2699,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.65908,,2.11282,0.01067,-0.01067,Rustamkulov et al. 2022,0.14536,3.7E-4,-3.7E-4,Calculated,1.266,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.6808,,2.12862,0.01124,-0.01124,Rustamkulov et al. 2022,0.1459,3.8E-4,-3.9E-4,Calculated,1.2707,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.7024,,2.09193,0.01122,-0.01122,Rustamkulov et al. 2022,0.14463,3.9E-4,-3.9E-4,Calculated,1.2597,0.0325,-0.0325,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.72386,,2.10696,0.01127,-0.01127,Rustamkulov et al. 2022,0.14515,3.9E-4,-3.9E-4,Calculated,1.2642,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.7452,,2.10921,0.01136,-0.01136,Rustamkulov et al. 2022,0.14523,3.9E-4,-3.9E-4,Calculated,1.2649,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.76642,,2.10808,0.01165,-0.01165,Rustamkulov et al. 2022,0.14519,4.0E-4,-4.0E-4,Calculated,1.2645,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.78752,,2.08071,0.01161,-0.01161,Rustamkulov et al. 2022,0.14425,4.0E-4,-4.0E-4,Calculated,1.2563,0.0325,-0.0325,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.80849,,2.119,0.01178,-0.01178,Rustamkulov et al. 2022,0.14557,4.0E-4,-4.1E-4,Calculated,1.2678,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.82935,,2.10884,0.01221,-0.01221,Rustamkulov et al. 2022,0.14522,4.2E-4,-4.2E-4,Calculated,1.2648,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.85009,,2.10311,0.01223,-0.01223,Rustamkulov et al. 2022,0.14502,4.2E-4,-4.2E-4,Calculated,1.263,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.87071,,2.09872,0.01247,-0.01247,Rustamkulov et al. 2022,0.14487,4.3E-4,-4.3E-4,Calculated,1.2617,0.0326,-0.0326,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.89123,,2.09495,0.01251,-0.01251,Rustamkulov et al. 2022,0.14474,4.3E-4,-4.3E-4,Calculated,1.2606,0.0326,-0.0326,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.91163,,2.09479,0.01281,-0.01281,Rustamkulov et al. 2022,0.14473,4.4E-4,-4.4E-4,Calculated,1.2605,0.0326,-0.0326,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.93192,,2.10816,0.01296,-0.01296,Rustamkulov et al. 2022,0.1452,4.5E-4,-4.5E-4,Calculated,1.2646,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.9521,,2.10065,0.01339,-0.01339,Rustamkulov et al. 2022,0.14494,4.6E-4,-4.6E-4,Calculated,1.2623,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.97218,,2.1088,0.01311,-0.01311,Rustamkulov et al. 2022,0.14522,4.5E-4,-4.5E-4,Calculated,1.2648,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.99215,,2.13018,0.0132,-0.0132,Rustamkulov et al. 2022,0.14595,4.5E-4,-4.5E-4,Calculated,1.2711,0.0329,-0.0329,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.01202,,2.14189,0.01359,-0.01359,Rustamkulov et al. 2022,0.14635,4.6E-4,-4.7E-4,Calculated,1.2746,0.033,-0.033,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.03178,,2.14119,0.0136,-0.0136,Rustamkulov et al. 2022,0.14633,4.6E-4,-4.7E-4,Calculated,1.2744,0.033,-0.033,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.05145,,2.13695,0.01358,-0.01358,Rustamkulov et al. 2022,0.14618,4.6E-4,-4.7E-4,Calculated,1.2732,0.033,-0.033,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.07101,,2.11551,0.0138,-0.0138,Rustamkulov et al. 2022,0.14545,4.7E-4,-4.8E-4,Calculated,1.2668,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.09048,,2.1199,0.01413,-0.01413,Rustamkulov et al. 2022,0.1456,4.8E-4,-4.9E-4,Calculated,1.2681,0.0329,-0.0329,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.10985,,2.08295,0.01457,-0.01457,Rustamkulov et al. 2022,0.14432,5.0E-4,-5.1E-4,Calculated,1.257,0.0326,-0.0326,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.12913,,2.10313,0.01436,-0.01436,Rustamkulov et al. 2022,0.14502,4.9E-4,-5.0E-4,Calculated,1.2631,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.14831,,2.11223,0.01441,-0.01441,Rustamkulov et al. 2022,0.14534,4.9E-4,-5.0E-4,Calculated,1.2658,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.1674,,2.1387,0.01457,-0.01457,Rustamkulov et al. 2022,0.14624,5.0E-4,-5.0E-4,Calculated,1.2737,0.033,-0.033,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.1864,,2.12814,0.01467,-0.01467,Rustamkulov et al. 2022,0.14588,5.0E-4,-5.0E-4,Calculated,1.2705,0.0329,-0.0329,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
